group,group_label,node_index,x1,x2,x3,weight
6,pair_l1_l1,6,-0.955907315804539012,0.000000000000000000,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,7,0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,8,0.955907315804539012,0.000000000000000000,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,9,0.000000000000000000,-0.955907315804539012,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,10,0.000000000000000000,-0.955907315804539012,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,11,0.000000000000000000,0.955907315804539012,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,12,0.000000000000000000,0.955907315804539012,0.955907315804539012,0.039257183372578002
7,pair_l1_l2,1,-0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,2,-0.955907315804539012,0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,3,0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,4,0.955907315804539012,0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,5,-0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,6,-0.955907315804539012,0.000000000000000000,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,7,0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,8,0.955907315804539012,0.000000000000000000,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,9,-0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,10,0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,11,-0.406057174738239736,0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,12,0.406057174738239736,0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,13,0.000000000000000000,-0.955907315804539012,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,14,0.000000000000000000,-0.955907315804539012,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,15,0.000000000000000000,0.955907315804539012,-0.406057174738239736,0.180345157177431363
